AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
Arkansas-Pine Bluff,@  Prairie View A&M,7:00 PM,,,"William Nicks Building, Prairie View, TX",,2026-01-12
Southern,@  Bethune-Cookman,7:00 PM,,Tickets as low as $54,"Moore Gymnasium (FL), Daytona Beach, FL",,2026-01-12
Maryland Eastern Shore,@  Norfolk State,7:00 PM,,,"Joseph G. Echols Hall, Norfolk, VA",,2026-01-12
South Carolina State,@  Coppin State,7:00 PM,ESPN+,,"Physical Education Complex, Baltimore, MD",,2026-01-12
Houston Christian,@  Lamar,7:00 PM,ESPN+,Tickets as low as $39,"Montagne Center, Beaumont, TX",,2026-01-12
Navy,@  American University,7:00 PM,,Tickets as low as $33,"Bender Arena, Washington, DC",,2026-01-12
Incarnate Word,@  Stephen F. Austin,7:00 PM,ESPN+,Tickets as low as $48,"William R. Johnson Coliseum, Nacogdoches, TX",,2026-01-12
New Orleans,@  SE Louisiana,7:00 PM,ESPN+,Tickets as low as $14,"University Center, Hammond, LA",,2026-01-12
UT Rio Grande Valley,@  Northwestern State,7:30 PM,ESPN+,,"Prather Coliseum, Natchitoches, LA",,2026-01-12
Nicholls,@  McNeese,7:30 PM,ESPN+,Tickets as low as $54,"Townsley Law Arena, Lake Charles, LA",,2026-01-12
Texas A&M-Corpus Christi,@  East Texas A&M,7:30 PM,ESPN+,Tickets as low as $45,"The Field House, Commerce, TX",,2026-01-12
Mississippi Valley State,@  Texas Southern,8:00 PM,,,"H&PE Arena, Houston, TX",,2026-01-12
Jackson State,@  Alabama A&M,8:00 PM,,,"Event Center, Huntsville, AL",,2026-01-12
3 Florida,@  Oklahoma,TBD,,Tickets as low as $30,"Lloyd Noble Center, Norman, OK",,2026-01-13
20 Auburn,@  Missouri,TBD,,Tickets as low as $71,"Mizzou Arena, Columbia, MO",,2026-01-13
Colorado State,@  Fresno State,TBD,,Tickets as low as $55,"Save Mart Center, Fresno, CA",,2026-01-13
Vanderbilt,@  Texas,TBD,,Tickets as low as $48,"Moody Center, Austin, TX",,2026-01-13
Ole Miss,@  Georgia,TBD,,Tickets as low as $35,"Stegeman Coliseum, Athens, GA",,2026-01-13
Marquette,@  5 St. John's,6:30 PM,,Tickets as low as $56,"Madison Square Garden, New York, NY",,2026-01-13
Villanova,@  Providence,6:30 PM,,Tickets as low as $85,"Amica Mutual Pavilion, Providence, RI",,2026-01-13
Northern Illinois,@  Eastern Michigan,6:30 PM,ESPN+,Tickets as low as $29,"Gervin GameAbove Center, Ypsilanti, MI",,2026-01-13
Kent State,@  Buffalo,6:30 PM,ESPN+,Tickets as low as $16,"Alumni Arena, Buffalo, NY",,2026-01-13
Virginia,@  11 Louisville,7:00 PM,,Tickets as low as $9,"KFC Yum! Center, Louisville, KY",,2026-01-13
Texas A&M,@  18 Tennessee,7:00 PM,SEC Network,Tickets as low as $31,"Food City Center, Knoxville, TN",,2026-01-13
24 Wisconsin,@  Minnesota,7:00 PM,,Tickets as low as $63,"Williams Arena, Minneapolis, MN",,2026-01-13
UIC,@  Northern Iowa,7:00 PM,ESPN+,Tickets as low as $25,"McLeod Center, Cedar Falls, IA",,2026-01-13
George Mason,@  Loyola Chicago,7:00 PM,,Tickets as low as $26,"Gentile Arena, Chicago, IL",,2026-01-13
Dayton,@  Duquesne,7:00 PM,ESPN+,Tickets as low as $35,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2026-01-13
Miami,@  Notre Dame,7:00 PM,,Tickets as low as $31,"Purcell Pavilion, South Bend, IN",,2026-01-13
Boston College,@  Clemson,7:00 PM,ACC Network,Tickets as low as $19,"Littlejohn Coliseum, Clemson, SC",,2026-01-13
Massachusetts,@  Western Michigan,7:00 PM,ESPN+,Tickets as low as $58,"University Arena (MI), Kalamazoo, MI",,2026-01-13
Ohio,@  Toledo,7:00 PM,ESPN+,Tickets as low as $22,"Savage Arena, Toledo, OH",,2026-01-13
Central Michigan,@  Miami (OH),7:00 PM,ESPN+,Tickets as low as $19,"Millett Hall, Oxford, OH",,2026-01-13
Ball State,@  Akron,7:00 PM,ESPN+,Tickets as low as $38,"James A. Rhodes Arena, Akron, OH",,2026-01-13
Valparaiso,@  Belmont,7:30 PM,ESPN+,Tickets as low as $53,"Curb Event Center Arena, Nashville, TN",,2026-01-13
4 UConn,@  Seton Hall,8:00 PM,,Tickets as low as $70,"Prudential Center, Newark, NJ",,2026-01-13
Indiana,@  22 Michigan State,8:00 PM,,Tickets as low as $78,"Breslin Center, East Lansing, MI",,2026-01-13
Bradley,@  Evansville,8:00 PM,ESPN+,Tickets as low as $32,"Ford Center, Evansville, IN",,2026-01-13
West Virginia,@  2 Houston,8:30 PM,FS1,Tickets as low as $69,"Fertitta Center, Houston, TX",,2026-01-13
Western Illinois,@  Eastern Illinois,8:30 PM,ESPN+,Tickets as low as $47,"Groniger Arena, Charleston, IL",,2026-01-13
15 Alabama,@  Mississippi State,9:00 PM,SEC Network,Tickets as low as $60,"Humphrey Coliseum, Starkville, MS",,2026-01-13
16 Iowa State,@  19 Kansas,9:00 PM,,Tickets as low as $81,"Allen Fieldhouse, Lawrence, KS",,2026-01-13
Georgetown,@  23 Creighton,9:00 PM,,Tickets as low as $17,"CHI Health Center Omaha, Omaha, NE",,2026-01-13
Baylor,@  Oklahoma State,9:00 PM,CBSSN,Tickets as low as $59,"Gallagher-Iba Arena, Stillwater, OK",,2026-01-13
Oregon,@  Nebraska,9:00 PM,BTN,Tickets as low as $25,"Pinnacle Bank Arena, Lincoln, NE",,2026-01-13
Grand Canyon,@  New Mexico,9:00 PM,,Tickets as low as $31,"The Pit, Albuquerque, NM",,2026-01-13
Florida State,@  Syracuse,9:00 PM,ACC Network,Tickets as low as $13,"JMA Wireless Dome, Syracuse, NY",,2026-01-13
Virginia Tech,@  SMU,9:00 PM,,Tickets as low as $34,"Moody Coliseum (Dallas), Dallas, TX",,2026-01-13
Air Force,@  San José State,10:00 PM,,Tickets as low as $22,"Provident Credit Union Event Center, San Jose, CA",,2026-01-13
Maryland,@  USC,10:30 PM,,Tickets as low as $44,"Galen Center, Los Angeles, CA",,2026-01-13
Saint Mary's,@  San Francisco,11:00 PM,ESPN2,Tickets as low as $48,"The Sobrato Center, San Francisco, CA",,2026-01-13
Boise State,@  UNLV,11:00 PM,,Tickets as low as $22,"Thomas & Mack Center, Las Vegas, NV",,2026-01-13
Davidson,@  George Washington,TBD,ESPN+,Tickets as low as $16,"Charles E. Smith Center, Washington, DC",,2026-01-14
VCU,@  Rhode Island,6:00 PM,,Tickets as low as $18,"Thomas M. Ryan Center, Kingston, RI",,2026-01-14
Army,@  Holy Cross,6:00 PM,ESPN+,,"Hart Center, Worcester, MA",,2026-01-14
Lehigh,@  Boston University,6:00 PM,ESPN+,Tickets as low as $23,"Case Gym, Boston, MA",,2026-01-14
Chattanooga,@  Wofford,6:00 PM,ESPN+,Tickets as low as $48,"Jerry Richardson Indoor Stadium, Spartanburg, SC",,2026-01-14
Iowa,@  1 Purdue,6:30 PM,,Tickets as low as $116,"Mackey Arena, West Lafayette, IN",,2026-01-14
High Point,@  Winthrop,6:30 PM,ESPN+,Tickets as low as $41,"Winthrop Coliseum, Rock Hill, SC",,2026-01-14
Butler,@  Xavier,6:30 PM,,Tickets as low as $17,"Cintas Center, Cincinnati, OH",,2026-01-14
9 Kentucky,@  LSU,7:00 PM,SEC Network,Tickets as low as $49,"Pete Maravich Assembly Center, Baton Rouge, LA",,2026-01-14
Illinois State,@  Indiana State,7:00 PM,ESPN+,Tickets as low as $28,"Hulman Center, Terre Haute, IN",,2026-01-14
St. Bonaventure,@  Saint Joseph's,7:00 PM,ESPN+,Tickets as low as $59,"Michael J. Hagan '85 Arena, Philadelphia, PA",,2026-01-14
La Salle,@  Richmond,7:00 PM,ESPN+,Tickets as low as $40,"Robins Center, Richmond, VA",,2026-01-14
East Carolina,@  South Florida,7:00 PM,ESPN+,Tickets as low as $41,"Yuengling Center, Tampa, FL",,2026-01-14
Tulsa,@  Charlotte,7:00 PM,ESPN+,Tickets as low as $24,"Halton Arena, Charlotte, NC",,2026-01-14
Colorado,@  Cincinnati,7:00 PM,Peacock,Tickets as low as $13,"Fifth Third Arena, Cincinnati, OH",,2026-01-14
South Carolina Upstate,@  Charleston Southern,7:00 PM,ESPN+,Tickets as low as $30,"Buccaneer Fieldhouse, Charleston, SC",,2026-01-14
UNC Asheville,@  Presbyterian,7:00 PM,ESPN+,,"Templeton Center, Clinton, SC",,2026-01-14
Radford,@  Gardner-Webb,7:00 PM,ESPN+,Tickets as low as $47,"Paul Porter Arena, Boiling Springs, NC",,2026-01-14
Iona,@  Rider,7:00 PM,ESPN+,Tickets as low as $54,"Alumni Gymnasium (Rider), Lawrenceville, NJ",,2026-01-14
Pittsburgh,@  Georgia Tech,7:00 PM,ACC Network,Tickets as low as $35,"McCamish Pavilion, Atlanta, GA",,2026-01-14
Saint Peter's,@  Quinnipiac,7:00 PM,ESPN+,Tickets as low as $24,"M&T Bank Arena, Hamden, CT",,2026-01-14
Colgate,@  Loyola Maryland,7:00 PM,ESPN+,,"Reitz Arena, Baltimore, MD",,2026-01-14
Sacred Heart,@  Siena,7:00 PM,ESPN+,Tickets as low as $29,"MVP Arena, Albany, NY",,2026-01-14
Niagara,@  Canisius,7:00 PM,ESPN+,Tickets as low as $26,"Koessler Athletic Center, Buffalo, NY",,2026-01-14
Manhattan,@  Fairfield,7:00 PM,ESPN+,Tickets as low as $52,"Leo D. Mahoney Arena, Fairfield, CT",,2026-01-14
East Tennessee State,@  Western Carolina,7:00 PM,ESPN+,,"Ramsey Center, Cullowhee, NC",,2026-01-14
Furman,@  Samford,7:00 PM,ESPN+,Tickets as low as $27,"Pete Hanna Center, Homewood, AL",,2026-01-14
Southern Miss,@  Troy,7:00 PM,ESPN+,Tickets as low as $16,"Trojan Arena, Troy, AL",,2026-01-14
Coastal Carolina,@  Marshall,7:00 PM,ESPN+,Tickets as low as $49,"Cam Henderson Center, Huntington, WV",,2026-01-14
Florida International,@  Kennesaw State,7:00 PM,ESPN+,Tickets as low as $14,"KSU Convocation Center, Kennesaw, GA",,2026-01-14
Sam Houston,@  Jacksonville State,7:00 PM,ESPN+,,"Pete Mathews Coliseum, Jacksonville, AL",,2026-01-14
Lafayette,@  Bucknell,7:30 PM,ESPN+,,"Sojka Pavilion, Lewisburg, PA",,2026-01-14
UAB,@  Tulane,7:30 PM,ESPN+,Tickets as low as $31,"Devlin Fieldhouse, New Orleans, LA",,2026-01-14
Missouri State,@  Western Kentucky,7:30 PM,ESPN+,Tickets as low as $17,"E.A. Diddle Arena, Bowling Green, KY",,2026-01-14
Middle Tennessee,@  Louisiana Tech,7:30 PM,ESPN+,Tickets as low as $19,"Thomas Assembly Center, Ruston, LA",,2026-01-14
San Diego State,@  Wyoming,8:00 PM,,Tickets as low as $43,"Arena-Auditorium, Laramie, WY",,2026-01-14
Drake,@  Southern Illinois,8:00 PM,ESPN+,Tickets as low as $69,"Banterra Center, Carbondale, IL",,2026-01-14
Fordham,@  Saint Louis,8:00 PM,ESPN+,Tickets as low as $12,"Chaifetz Arena, St. Louis, MO",,2026-01-14
Rice,@  UTSA,8:00 PM,ESPN+,Tickets as low as $36,"UTSA Convocation Center, San Antonio, TX",,2026-01-14
Temple,@  Memphis,8:00 PM,ESPN+,Tickets as low as $54,"FedExForum, Memphis, TN",,2026-01-14
UCF,@  Kansas State,8:00 PM,Peacock,Tickets as low as $39,"Bramlage Coliseum, Manhattan, KS",,2026-01-14
South Dakota State,@  North Dakota State,8:00 PM,,Tickets as low as $31,"Scheels Center, Fargo, ND",,2026-01-14
Louisiana,@  Texas State,8:00 PM,ESPN+,Tickets as low as $54,"Strahan Arena at the University Events Center, San Marcos, TX",,2026-01-14
12 UCLA,@  Penn State,8:30 PM,FS1,Tickets as low as $30,"Bryce Jordan Center, University Park, PA",,2026-01-14
17 Illinois,@  Northwestern,8:30 PM,,Tickets as low as $139,"Welsh-Ryan Arena, Evanston, IL",,2026-01-14
Utah,@  10 Texas Tech,9:00 PM,Peacock,Tickets as low as $88,"United Supermarkets Arena, Lubbock, TX",,2026-01-14
South Carolina,@  14 Arkansas,9:00 PM,SEC Network,Tickets as low as $109,"Bud Walton Arena, Fayetteville, AR",,2026-01-14
25 North Carolina,@  Stanford,9:00 PM,ACC Network,Tickets as low as $71,"Maples Pavilion, Stanford, CA",,2026-01-14
Portland,@  Pepperdine,9:00 PM,,Tickets as low as $63,"Firestone Fieldhouse, Malibu, CA",,2026-01-14
Oral Roberts,@  Denver,9:00 PM,,,"Hamilton Gymnasium, Denver, CO",,2026-01-14
Nevada,@  Utah State,10:00 PM,,Tickets as low as $69,"Dee Glen Smith Spectrum, Logan, UT",,2026-01-14
Pacific,@  Santa Clara,10:00 PM,,Tickets as low as $12,"Leavey Center, Santa Clara, CA",,2026-01-14
Loyola Marymount,@  Oregon State,10:00 PM,,Tickets as low as $25,"Gill Coliseum, Corvallis, OR",,2026-01-14
7 Michigan,@  Washington,10:30 PM,,Tickets as low as $45,"Alaska Airlines Arena, Seattle, WA",,2026-01-14
Arizona State,@  13 Arizona,10:30 PM,FS1,Tickets as low as $56,"McKale Memorial Center, Tucson, AZ",,2026-01-14
6 Duke,@  California,11:00 PM,ACC Network,Tickets as low as $139,"Haas Pavilion, Berkeley, CA",,2026-01-14
TCU,@  8 BYU,11:00 PM,ESPN2,Tickets as low as $129,"Marriott Center, Provo, UT",,2026-01-14
Arkansas State,@  South Alabama,TBD,ESPN+,Tickets as low as $52,"Mitchell Center, Mobile, AL",,2026-01-15
NJIT,@  UMass Lowell,6:00 PM,ESPN+,Tickets as low as $15,"Kennedy Family Athletic Complex, Lowell, MA",,2026-01-15
UMBC,@  Bryant,6:00 PM,ESPN+,Tickets as low as $34,"Chace Athletic Center, Smithfield, RI",,2026-01-15
Mercer,@  VMI,6:00 PM,ESPN+,Tickets as low as $31,"Cameron Hall, Lexington, VA",,2026-01-15
New Mexico State,@  Liberty,6:00 PM,CBSSN,Tickets as low as $31,"Liberty Arena (VA), Lynchburg, VA",,2026-01-15
Robert Morris,@  IU Indianapolis,6:30 PM,ESPN+,Tickets as low as $32,"The Jungle, Indianapolis, IN",,2026-01-15
Binghamton,@  UAlbany,6:30 PM,,Tickets as low as $26,"Broadview Center, Albany, NY",,2026-01-15
James Madison,@  App State,6:30 PM,ESPN+,,"Holmes Convocation Center, Boone, NC",,2026-01-15
Youngstown State,@  Wright State,7:00 PM,ESPN+,Tickets as low as $27,"Nutter Center, Dayton, OH",,2026-01-15
Detroit Mercy,@  Northern Kentucky,7:00 PM,ESPN+,Tickets as low as $35,"Truist Arena, Highland Heights, KY",,2026-01-15
Green Bay,@  Cleveland State,7:00 PM,ESPN+,Tickets as low as $25,"Wolstein Center, Cleveland, OH",,2026-01-15
Maine,@  Vermont,7:00 PM,ESPN+,Tickets as low as $27,"Patrick Gymnasium, Burlington, VT",,2026-01-15
Elon,@  Northeastern,7:00 PM,,Tickets as low as $24,"Matthews Arena, Boston, MA",,2026-01-15
North Carolina A&T,@  William & Mary,7:00 PM,,,"Kaplan Arena, Williamsburg, VA",,2026-01-15
Drexel,@  Monmouth,7:00 PM,,Tickets as low as $20,"OceanFirst Bank Center, West Long Branch, NJ",,2026-01-15
Hofstra,@  Stony Brook,7:00 PM,,Tickets as low as $17,"Stony Brook Arena, Stony Brook, NY",,2026-01-15
The Citadel,@  UNC Greensboro,7:00 PM,ESPN+,Tickets as low as $44,"First Horizon Coliseum, Greensboro, NC",,2026-01-15
Old Dominion,@  Georgia Southern,7:00 PM,ESPN+,Tickets as low as $48,"Jack and Ruth Ann Hill Convocation Center, Statesboro, GA",,2026-01-15
West Georgia,@  Stetson,7:00 PM,ESPN+,Tickets as low as $29,"Edmunds Center, DeLand, FL",,2026-01-15
Queens University,@  Florida Gulf Coast,7:00 PM,ESPN+,Tickets as low as $35,"Alico Arena, Fort Myers, FL",,2026-01-15
North Florida,@  North Alabama,7:00 PM,ESPN+,Tickets as low as $39,"Flowers Hall, Florence, AL",,2026-01-15
UTEP,@  Delaware,7:00 PM,ESPN+,Tickets as low as $16,"Bob Carpenter Center, Newark, DE",,2026-01-15
Jacksonville,@  Central Arkansas,7:30 PM,ESPN+,Tickets as low as $30,"Farris Center, Conway, AR",,2026-01-15
Kansas City,@  South Dakota,8:00 PM,,Tickets as low as $14,"Sanford Coyote Sports Center, Vermillion, SD",,2026-01-15
St. Thomas-Minnesota,@  North Dakota,8:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2026-01-15
Oakland,@  Milwaukee,8:00 PM,ESPN+,Tickets as low as $16,"UW-Milwaukee Panther Arena, Milwaukee, WI",,2026-01-15
Charleston,@  Towson,8:00 PM,CBSSN,Tickets as low as $42,"SECU Arena, Towson, MD",,2026-01-15
Eastern Kentucky,@  Austin Peay,8:00 PM,ESPN+,Tickets as low as $25,"F&M Bank Arena, Clarksville, TN",,2026-01-15
Bellarmine,@  Lipscomb,8:00 PM,ESPN+,Tickets as low as $33,"Allen Arena, Nashville, TN",,2026-01-15
Eastern Illinois,@  Little Rock,8:00 PM,ESPN+,Tickets as low as $34,"Jack Stephens Center, Little Rock, AR",,2026-01-15
California Baptist,@  Abilene Christian,8:00 PM,ESPN+,Tickets as low as $31,"Moody Coliseum (Abilene), Abilene, TX",,2026-01-15
Southern Indiana,@  Tennessee Tech,8:30 PM,ESPN+,,"Hooper Eblen Center, Cookeville, TN",,2026-01-15
SIU Edwardsville,@  UT Martin,8:30 PM,ESPN+,,"Kathleen and Tom Elam Center, Martin, TN",,2026-01-15
Morehead State,@  Tennessee State,8:30 PM,ESPN+,,"Gentry Center, Nashville, TN",,2026-01-15
Lindenwood,@  Southeast Missouri State,8:30 PM,ESPN+,Tickets as low as $54,"Show Me Center, Cape Girardeau, MO",,2026-01-15
Tarleton State,@  Southern Utah,8:30 PM,ESPN+,Tickets as low as $55,"America First Events Center, Cedar City, UT",,2026-01-15
Wichita State,@  Florida Atlantic,9:00 PM,ESPN2,Tickets as low as $44,"Eleanor R. Baldwin Arena, Boca Raton, FL",,2026-01-15
Cal State Fullerton,@  UC Davis,9:00 PM,ESPN+,Tickets as low as $19,"University Credit Union Center, Davis, CA",,2026-01-15
Idaho,@  Idaho State,9:00 PM,ESPN+,Tickets as low as $50,"Reed Gym, Pocatello, ID",,2026-01-15
Eastern Washington,@  Weber State,9:00 PM,ESPN+,Tickets as low as $48,"Dee Events Center, Ogden, UT",,2026-01-15
UT Arlington,@  Utah Tech,9:00 PM,ESPN+,Tickets as low as $55,"Burns Arena, St. George, UT",,2026-01-15
UC Santa Barbara,@  Cal State Bakersfield,9:30 PM,ESPN+,Tickets as low as $28,"Icardo Center, Bakersfield, CA",,2026-01-15
21 Gonzaga,@  Washington State,10:00 PM,CBSSN,Tickets as low as $105,"Beasley Coliseum, Pullman, WA",,2026-01-15
San Diego,@  Seattle U,10:00 PM,,,"Redhawk Center, Seattle, WA",,2026-01-15
UC Riverside,@  Long Beach State,10:00 PM,ESPN+,Tickets as low as $41,"Walter Pyramid, Long Beach, CA",,2026-01-15
Hawai'i,@  Cal Poly,10:00 PM,ESPN+,Tickets as low as $47,"Mott Athletics Center, San Luis Obispo, CA",,2026-01-15
Cal State Northridge,@  UC San Diego,10:00 PM,ESPN+,Tickets as low as $16,"LionTree Arena, San Diego, CA",,2026-01-15
Northern Colorado,@  Portland State,10:00 PM,ESPN+,Tickets as low as $36,"Viking Pavilion, Portland, OR",,2026-01-15
Northern Arizona,@  Sacramento State,10:00 PM,ESPN+,Tickets as low as $37,"Hornet Pavilion, Sacramento, CA",,2026-01-15
23 Creighton,@  Providence,6:30 PM,,Tickets as low as $71,"Amica Mutual Pavilion, Providence, RI",,2026-01-16
Toledo,@  Kent State,6:30 PM,ESPN+,Tickets as low as $16,"M.A.C. Center, Kent, OH",,2026-01-16
Baylor,@  19 Kansas,8:00 PM,FOX,Tickets as low as $78,"Allen Fieldhouse, Lawrence, KS",,2026-01-16
Loyola Chicago,@  Dayton,8:30 PM,ESPN2,Tickets as low as $50,"UD Arena, Dayton, OH",,2026-01-16
Marquette,@  DePaul,8:30 PM,,Tickets as low as $22,"Wintrust Arena, Chicago, IL",,2026-01-16
Ohio,@  Ball State,8:30 PM,ESPN+,Tickets as low as $26,"Worthen Arena, Muncie, IN",,2026-01-16
Colorado State,@  Boise State,10:30 PM,,Tickets as low as $17,"ExtraMile Arena, Boise, ID",,2026-01-16
3 Florida,@  Vanderbilt,TBD,,Tickets as low as $81,"Memorial Gymnasium (TN), Nashville, TN",,2026-01-17
14 Arkansas,@  Georgia,TBD,,Tickets as low as $57,"Stegeman Coliseum, Athens, GA",,2026-01-17
22 Michigan State,@  Washington,TBD,,Tickets as low as $85,"Alaska Airlines Arena, Seattle, WA",,2026-01-17
Northern Iowa,@  Valparaiso,TBD,ESPN+,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",,2026-01-17
Indiana State,@  Murray State,TBD,ESPN+,Tickets as low as $47,"CFSB Center, Murray, KY",,2026-01-17
Bradley,@  Illinois State,TBD,ESPN+,Tickets as low as $41,"CEFCU Arena, Normal, IL",,2026-01-17
Belmont,@  Southern Illinois,TBD,ESPN+,Tickets as low as $69,"Banterra Center, Carbondale, IL",,2026-01-17
Texas Southern,@  Alcorn State,TBD,,,"Davey L. Whitney Complex, Lorman, MS",,2026-01-17
Wyoming,@  Fresno State,TBD,,Tickets as low as $59,"Save Mart Center, Fresno, CA",,2026-01-17
Norfolk State,@  South Carolina State,TBD,,,"Smith-Hammond-Middleton Memorial Center, Orangeburg, SC",,2026-01-17
Alabama State,@  Alabama A&M,TBD,,Tickets as low as $59,"Mitchell Center, Mobile, AL",,2026-01-17
Florida A&M,@  Arkansas-Pine Bluff,TBD,,,"H.O. Clemmons Arena, Pine Bluff, AR",,2026-01-17
Nevada,@  Air Force,TBD,,Tickets as low as $22,"Clune Arena, Colorado Springs, CO",,2026-01-17
The Citadel,@  VMI,TBD,ESPN+,Tickets as low as $31,"Cameron Hall, Lexington, VA",,2026-01-17
Louisiana,@  South Alabama,TBD,ESPN+,Tickets as low as $59,"Mitchell Center, Mobile, AL",,2026-01-17
Texas A&M,@  Texas,TBD,,Tickets as low as $139,"Moody Center, Austin, TX",,2026-01-17
4 UConn,@  Georgetown,12:00 PM,,Tickets as low as $105,"Capital One Arena, Washington, DC",,2026-01-17
9 Kentucky,@  18 Tennessee,12:00 PM,ESPN,Tickets as low as $121,"Food City Center, Knoxville, TN",,2026-01-17
Minnesota,@  17 Illinois,12:00 PM,,Tickets as low as $63,"State Farm Center, Champaign, IL",,2026-01-17
Butler,@  Seton Hall,12:00 PM,,Tickets as low as $24,"Prudential Center, Newark, NJ",,2026-01-17
Notre Dame,@  Virginia Tech,12:00 PM,ACC Network,Tickets as low as $49,"Cassell Coliseum, Blacksburg, VA",,2026-01-17
Virginia,@  SMU,12:00 PM,,Tickets as low as $47,"Moody Coliseum (Dallas), Dallas, TX",,2026-01-17
Georgia Tech,@  NC State,12:00 PM,The CW Network,Tickets as low as $42,"Lenovo Center, Raleigh, NC",,2026-01-17
Mount St. Mary's,@  Canisius,12:00 PM,ESPN+,Tickets as low as $26,"Koessler Athletic Center, Buffalo, NY",,2026-01-17
Elon,@  Hofstra,12:00 PM,CBSSN,Tickets as low as $40,"David S. Mack Sports and Exhibition Complex, Hempstead, NY",,2026-01-17
Duquesne,@  Fordham,12:30 PM,,Tickets as low as $16,"Rose Hill Gym, Bronx, NY",,2026-01-17
12 UCLA,@  Ohio State,1:00 PM,,Tickets as low as $28,"Value City Arena, Columbus, OH",,2026-01-17
15 Alabama,@  Oklahoma,1:00 PM,SEC Network,Tickets as low as $30,"Lloyd Noble Center, Norman, OK",,2026-01-17
Holy Cross,@  Lafayette,1:00 PM,ESPN+,Tickets as low as $38,"Kirby Sports Center, Easton, PA",,2026-01-17
Boston University,@  Loyola Maryland,1:00 PM,ESPN+,,"Reitz Arena, Baltimore, MD",,2026-01-17
Eastern Michigan,@  Bowling Green,1:00 PM,ESPN+,Tickets as low as $31,"Stroh Center, Bowling Green, OH",,2026-01-17
Buffalo,@  Miami (OH),1:00 PM,ESPN+,Tickets as low as $16,"Millett Hall, Oxford, OH",,2026-01-17
Wagner,@  New Haven,1:00 PM,,,"Jeffery P. Hazell Athletics Center, West Haven, CT",,2026-01-17
Chattanooga,@  Western Carolina,1:00 PM,ESPN+,Tickets as low as $59,"Ramsey Center, Cullowhee, NC",,2026-01-17
Old Dominion,@  App State,1:00 PM,ESPN+,Tickets as low as $94,"Holmes Convocation Center, Boone, NC",,2026-01-17
16 Iowa State,@  Cincinnati,2:00 PM,Peacock,Tickets as low as $39,"Fifth Third Arena, Cincinnati, OH",,2026-01-17
Rutgers,@  24 Wisconsin,2:00 PM,,Tickets as low as $74,"Kohl Center, Madison, WI",,2026-01-17
Bucknell,@  Colgate,2:00 PM,ESPN+,Tickets as low as $28,"Cotterell Court, Hamilton, NY",,2026-01-17
TCU,@  Utah,2:00 PM,TNT,Tickets as low as $21,"Jon M. Huntsman Center, Salt Lake City, UT",,2026-01-17
Iowa,@  Indiana,2:00 PM,,Tickets as low as $57,"Simon Skjodt Assembly Hall, Bloomington, IN",,2026-01-17
Winthrop,@  UNC Asheville,2:00 PM,ESPN+,Tickets as low as $33,"Kimmel Arena, Asheville, NC",,2026-01-17
Presbyterian,@  Gardner-Webb,2:00 PM,ESPN+,Tickets as low as $47,"Paul Porter Arena, Boiling Springs, NC",,2026-01-17
Rider,@  Saint Peter's,2:00 PM,ESPN+,Tickets as low as $60,"Yanitelli Center, Jersey City, NJ",,2026-01-17
Syracuse,@  Boston College,2:00 PM,ACC Network,Tickets as low as $33,"Conte Forum, Chestnut Hill, MA",,2026-01-17
Navy,@  Lehigh,2:00 PM,ESPN+,Tickets as low as $46,"Stabler Arena, Bethlehem, PA",,2026-01-17
Columbia,@  Brown,2:00 PM,ESPN+,,"Pizzitola Sports Center, Providence, RI",,2026-01-17
St. Thomas-Minnesota,@  North Dakota State,2:00 PM,,Tickets as low as $30,"Scheels Center, Fargo, ND",,2026-01-17
South Dakota,@  North Dakota,2:00 PM,,Tickets as low as $24,"Betty Engelstad Sioux Center, Grand Forks, ND",,2026-01-17
Cornell,@  Yale,2:00 PM,ESPN+,Tickets as low as $65,"John J. Lee Amphitheater, New Haven, CT",,2026-01-17
Youngstown State,@  Cleveland State,2:00 PM,ESPN+,Tickets as low as $25,"Wolstein Center, Cleveland, OH",,2026-01-17
Detroit Mercy,@  IU Indianapolis,2:00 PM,ESPN+,Tickets as low as $32,"The Jungle, Indianapolis, IN",,2026-01-17
Western Michigan,@  Akron,2:00 PM,ESPN+,Tickets as low as $44,"James A. Rhodes Arena, Akron, OH",,2026-01-17
Fairfield,@  Marist,2:00 PM,ESPN+,Tickets as low as $51,"McCann Arena, Poughkeepsie, NY",,2026-01-17
Siena,@  Manhattan,2:00 PM,ESPN+,Tickets as low as $42,"Draddy Gymnasium, Riverdale, NY",,2026-01-17
Princeton,@  Harvard,2:00 PM,ESPN+,Tickets as low as $53,"Lavietes Pavilion, Cambridge, MA",,2026-01-17
Stonehill,@  Mercyhurst,2:00 PM,,,"Mercyhurst Athletic Center, Erie, PA",,2026-01-17
Central Connecticut,@  Saint Francis,2:00 PM,,,"DeGol Arena, Loretto, PA",,2026-01-17
Le Moyne,@  Chicago State,2:00 PM,,Tickets as low as $8,"Jones Convocation Center, Chicago, IL",,2026-01-17
Long Island University,@  Fairleigh Dickinson,2:00 PM,,,"Bogota Savings Bank Center, Hackensack, NJ",,2026-01-17
